Frame Time(us);Execution Time(us);Memory(bytes);State Size(bytes);Nodes;Objects
16755;66065;28227844;5907;332;1871
83156;0;25017004;5907;332;1440
27505;0;25017380;5907;332;1440
4335;0;25017508;5907;332;1440
1215;0;25017508;5907;332;1440
16982;0;25017508;5907;332;1440
16684;0;25017764;5907;332;1440
16541;0;25017764;5907;332;1440
16777;0;25017764;5907;332;1440
16375;0;25017764;5907;332;1440
17157;0;25017764;5907;332;1440
16330;0;25018276;5907;332;1440
16791;0;25018276;5907;332;1440
16562;0;25018276;5907;332;1440
16835;0;25018276;5907;332;1440
16416;0;25018276;5907;332;1440
16752;0;25018276;5907;332;1440
16754;0;25018276;5907;332;1440
16736;0;25018276;5907;332;1440
16467;0;25018276;5907;332;1440
16804;0;25018276;5907;332;1440
16486;0;25018276;5907;332;1440
17104;0;25019300;5907;332;1440
16581;0;25019300;5907;332;1440
16551;0;25019740;5907;332;1440
16478;0;25019508;5907;332;1440
16708;0;25019508;5907;332;1440
16594;0;25020828;5907;332;1440
16900;0;25020516;5907;332;1440
16564;0;25020388;5907;332;1440
16613;0;25020388;5907;332;1440
16615;0;25019508;5907;332;1440
16826;0;25019508;5907;332;1440
16446;0;25017532;5907;332;1440
16817;0;25017092;5907;332;1440
16636;0;25017092;5907;332;1440
16809;0;25017092;5907;332;1440
16434;0;25017092;5907;332;1440
16830;0;25017092;5907;332;1440
16488;0;25017092;5907;332;1440
16818;0;25017092;5907;332;1440
16519;0;25017092;5907;332;1440
16706;0;25017092;5907;332;1440
16686;0;25019140;5907;332;1440
16822;0;25019140;5907;332;1440
16451;0;25019452;5907;332;1440
16811;0;25019452;5907;332;1440
16633;0;25019452;5907;332;1440
16667;0;25019140;5907;332;1440
16544;0;25018700;5907;332;1440
16808;0;25018700;5907;332;1440
16382;0;25018700;5907;332;1440
16900;0;25018260;5907;332;1440
16708;0;25018700;5907;332;1440
16729;0;25018260;5907;332;1440
16483;0;25018260;5907;332;1440
16667;0;25018260;5907;332;1440
16630;0;25018260;5907;332;1440
16804;0;25018700;5907;332;1440
16658;0;25018260;5907;332;1440
16735;64775;27904124;5907;332;1834
81372;0;25021036;5907;332;1440
25935;0;25021348;5907;332;1440
4161;0;25021348;5907;332;1440
4882;0;25021348;5907;332;1440
17078;0;25021348;5907;332;1440
16459;0;25021348;5907;332;1440
16826;0;25021348;5907;332;1440
16547;0;25021348;5907;332;1440
16794;0;25021348;5907;332;1440
16543;0;25021348;5907;332;1440
16707;0;25021348;5907;332;1440
16522;0;25021348;5907;332;1440
16866;0;25021348;5907;332;1440
16501;0;25021348;5907;332;1440
16855;0;25021348;5907;332;1440
16478;0;25021348;5907;332;1440
16845;0;25021348;5907;332;1440
16501;0;25021348;5907;332;1440
16915;0;25021348;5907;332;1440
16367;0;25021348;5907;332;1440
16900;0;25021348;5907;332;1440
16492;0;25021348;5907;332;1440
16765;0;25021348;5907;332;1440
16565;0;25021788;5907;332;1440
16850;0;25021556;5907;332;1440
16543;0;25025652;5907;332;1440
16769;0;25026972;5907;332;1440
16554;0;25026660;5907;332;1440
16767;0;25026532;5907;332;1440
16518;0;25026532;5907;332;1440
16791;0;25025652;5907;332;1440
16524;0;25025652;5907;332;1440
16944;0;25023676;5907;332;1440
16345;0;25023236;5907;332;1440
16986;0;25023236;5907;332;1440
16306;0;25023236;5907;332;1440
16877;0;25023236;5907;332;1440
16447;0;25023236;5907;332;1440
16832;0;25023236;5907;332;1440
16591;0;25023236;5907;332;1440
16839;0;25023236;5907;332;1440
16344;0;25023236;5907;332;1440
16882;0;25023236;5907;332;1440
16514;0;25023236;5907;332;1440
16832;0;25023548;5907;332;1440
16564;0;25023548;5907;332;1440
16832;0;25023548;5907;332;1440
16548;0;25023236;5907;332;1440
16976;0;25022796;5907;332;1440
16297;0;25022796;5907;332;1440
16777;0;25022796;5907;332;1440
16546;0;25022356;5907;332;1440
16681;0;25022796;5907;332;1440
16601;0;25022356;5907;332;1440
16792;0;25022356;5907;332;1440
16647;0;25022356;5907;332;1440
16883;0;25022356;5907;332;1440
16429;0;25022796;5907;332;1440
16753;0;25022356;5907;332;1440
16502;60021;27908220;5907;332;1834
76878;0;25025132;5907;332;1440
26026;0;25025444;5907;332;1440
4060;0;25025444;5907;332;1440
9826;0;25025444;5907;332;1440
16489;0;25025444;5907;332;1440
16872;0;25025444;5907;332;1440
16516;0;25025444;5907;332;1440
16716;0;25025444;5907;332;1440
16615;0;25025444;5907;332;1440
16744;0;25025444;5907;332;1440
16444;0;25025444;5907;332;1440
16884;0;25025444;5907;332;1440
16464;0;25025444;5907;332;1440
17060;0;25025444;5907;332;1440
16299;0;25025444;5907;332;1440
16843;0;25025444;5907;332;1440
16495;0;25025444;5907;332;1440
16988;0;25025444;5907;332;1440
16695;0;25025444;5907;332;1440
16646;0;25025444;5907;332;1440
16357;0;25025444;5907;332;1440
16818;0;25025444;5907;332;1440
16656;0;25025444;5907;332;1440
16758;0;25025444;5907;332;1440
16453;0;25025884;5907;332;1440
16742;0;25025652;5907;332;1440
16698;0;25025652;5907;332;1440
16716;0;25026972;5907;332;1440
16597;0;25026660;5907;332;1440
16803;0;25026532;5907;332;1440
16653;0;25026532;5907;332;1440
16669;0;25025652;5907;332;1440
16551;0;25025652;5907;332;1440
16807;0;25023676;5907;332;1440
16334;0;25023236;5907;332;1440
16907;0;25023236;5907;332;1440
16672;0;25023236;5907;332;1440
16805;0;25023236;5907;332;1440
16416;0;25023236;5907;332;1440
16899;0;25023236;5907;332;1440
16381;0;25023236;5907;332;1440
16827;0;25023236;5907;332;1440
16757;0;25023236;5907;332;1440
16638;0;25023236;5907;332;1440
16326;0;25023236;5907;332;1440
17003;0;25023548;5907;332;1440
16614;0;25023548;5907;332;1440
16713;0;25023548;5907;332;1440
16550;0;25023236;5907;332;1440
16781;0;25022796;5907;332;1440
16541;0;25030988;5907;332;1440
16796;0;25030988;5907;332;1440
