Frame Time(us);Execution Time(us);Memory(bytes);State Size(bytes);Nodes;Objects
17240;80639;24974436;5907;332;1441
97015;0;24973004;5907;332;1441
6250;0;24973068;5907;332;1441
4000;0;24973196;5907;332;1441
8627;0;24973196;5907;332;1441
16891;0;24973196;5907;332;1441
16574;0;24973452;5907;332;1441
16956;0;24973452;5907;332;1441
16361;0;24973452;5907;332;1441
16805;0;24973452;5907;332;1441
16614;0;24973260;5907;332;1441
16679;0;24974212;5907;332;1441
16583;0;24973772;5907;332;1441
16863;0;24973772;5907;332;1441
16541;0;24973772;5907;332;1441
16735;0;24973772;5907;332;1441
16627;0;24973772;5907;332;1441
16843;0;24973772;5907;332;1441
16406;0;24973772;5907;332;1441
16778;0;24973772;5907;332;1441
16651;0;24973380;5907;332;1441
16649;0;24972940;5907;332;1441
16623;0;24973964;5907;332;1441
16795;0;24973964;5907;332;1441
16594;0;24974156;5907;332;1441
16676;0;24974156;5907;332;1441
16622;0;24974156;5907;332;1441
16855;0;24974156;5907;332;1441
16468;0;24974156;5907;332;1441
16623;0;24974156;5907;332;1441
16654;0;24974156;5907;332;1441
16755;0;24974596;5907;332;1441
16595;0;24974596;5907;332;1441
16741;0;24974596;5907;332;1441
16763;0;24975228;5907;332;1441
16581;0;24974788;5907;332;1441
16588;0;24974788;5907;332;1441
16756;0;24975228;5907;332;1441
16590;0;24974788;5907;332;1441
16786;0;24974788;5907;332;1441
16457;0;24971220;5907;332;1441
16836;0;24971220;5907;332;1441
16564;0;24971220;5907;332;1441
16814;0;24973396;5907;332;1441
16547;0;24973396;5907;332;1441
16514;0;24973396;5907;332;1441
17563;0;24973836;5907;332;1441
15982;0;24973396;5907;332;1441
16541;0;24973396;5907;332;1441
16750;0;24974516;5907;332;1441
16612;0;24976500;5907;332;1441
16701;0;24976500;5907;332;1441
16568;0;24976500;5907;332;1441
17041;0;24976500;5907;332;1441
16319;0;24976500;5907;332;1441
16827;0;24976500;5907;332;1441
16638;0;24976500;5907;332;1441
16609;0;24976500;5907;332;1441
16622;0;24976500;5907;332;1441
16617;0;24976060;5907;332;1441
16720;55959;24973100;5907;332;1441
72737;0;24975468;5907;332;1441
5776;0;24975468;5907;332;1441
1878;0;24975468;5907;332;1441
2753;0;24975468;5907;332;1441
16729;0;24975468;5907;332;1441
16792;0;24975468;5907;332;1441
16694;0;24975468;5907;332;1441
16826;0;24975468;5907;332;1441
16389;0;24975908;5907;332;1441
17031;0;24975468;5907;332;1441
16287;0;24975468;5907;332;1441
16757;0;24974140;5907;332;1441
16600;0;24974140;5907;332;1441
16761;0;24974140;5907;332;1441
16551;0;24974140;5907;332;1441
16836;0;24974140;5907;332;1441
16528;0;24974140;5907;332;1441
16703;0;24974140;5907;332;1441
16598;0;24974140;5907;332;1441
16807;0;24974580;5907;332;1441
16547;0;24974892;5907;332;1441
16946;0;24974892;5907;332;1441
16435;0;24974892;5907;332;1441
16677;0;24974892;5907;332;1441
16611;0;24974892;5907;332;1441
16635;0;24978988;5907;332;1441
16641;0;24976804;5907;332;1441
16786;0;24976364;5907;332;1441
16668;0;24976364;5907;332;1441
16648;0;24976364;5907;332;1441
16563;0;24976364;5907;332;1441
16724;0;24976364;5907;332;1441
16636;0;24976364;5907;332;1441
16853;0;24976364;5907;332;1441
16489;0;24976364;5907;332;1441
16734;0;24976364;5907;332;1441
16633;0;24976364;5907;332;1441
16762;0;24976364;5907;332;1441
16497;0;24976364;5907;332;1441
16998;0;24976364;5907;332;1441
16574;0;24976364;5907;332;1441
16747;0;24976804;5907;332;1441
16486;0;24976804;5907;332;1441
16675;0;24976804;5907;332;1441
16610;0;24976804;5907;332;1441
16872;0;24976804;5907;332;1441
16551;0;24976804;5907;332;1441
16617;0;24976804;5907;332;1441
16617;0;24976804;5907;332;1441
17436;0;24976804;5907;332;1441
17776;0;24976676;5907;332;1441
17110;0;24976676;5907;332;1441
14840;0;24977116;5907;332;1441
16417;0;24976484;5907;332;1441
16412;0;24976484;5907;332;1441
16812;0;24976484;5907;332;1441
16532;0;24976924;5907;332;1441
16779;0;24976484;5907;332;1441
16578;0;24976484;5907;332;1441
16720;55483;24976484;5907;332;1441
72064;0;24976484;5907;332;1441
5789;0;24976924;5907;332;1441
1880;0;24976924;5907;332;1441
3304;0;24976924;5907;332;1441
17042;0;24976612;5907;332;1441
16590;0;24976172;5907;332;1441
16753;0;24976172;5907;332;1441
16460;0;24976172;5907;332;1441
16757;0;24976172;5907;332;1441
16607;0;24975668;5907;332;1441
16774;0;24975668;5907;332;1441
16530;0;24975668;5907;332;1441
16772;0;24975668;5907;332;1441
16541;0;24975668;5907;332;1441
16785;0;24975668;5907;332;1441
16613;0;24975668;5907;332;1441
16688;0;24976108;5907;332;1441
16614;0;24975668;5907;332;1441
16739;0;24975668;5907;332;1441
16555;0;24975668;5907;332;1441
16771;0;24976108;5907;332;1441
16722;0;24977236;5907;332;1441
16833;0;24977236;5907;332;1441
16429;0;24977236;5907;332;1441
16723;0;24977236;5907;332;1441
16529;0;24977236;5907;332;1441
16920;0;24977236;5907;332;1441
16398;0;24977236;5907;332;1441
16806;0;24977236;5907;332;1441
16562;0;24977236;5907;332;1441
16777;0;24978884;5907;332;1441
16590;0;24978148;5907;332;1441
16758;0;24978148;5907;332;1441
16651;0;24978148;5907;332;1441
16675;0;24978148;5907;332;1441
16585;0;24978148;5907;332;1441
16792;0;24978340;5907;332;1441
16475;0;24978340;5907;332;1441
16902;0;24978340;5907;332;1441
16437;0;24978340;5907;332;1441
16816;0;24978340;5907;332;1441
16707;0;24978340;5907;332;1441
16681;0;24978780;5907;332;1441
16449;0;24979380;5907;332;1441
16801;0;24979380;5907;332;1441
16566;0;24979380;5907;332;1441
16780;0;24979820;5907;332;1441
16569;0;24980020;5907;332;1441
16757;0;24980020;5907;332;1441
16627;0;24980020;5907;332;1441
16696;0;24988212;5907;332;1441
16582;0;24988212;5907;332;1441
16734;0;24988652;5907;332;1441
16664;0;24988964;5907;332;1441
16665;0;24988764;5907;332;1441
16537;0;24988324;5907;332;1441
16793;0;24988324;5907;332;1441
16626;0;24988324;5907;332;1441
17049;0;24988324;5907;332;1441
16252;55449;24988324;5907;332;1441
72199;0;24988324;5907;332;1441
5947;0;24988324;5907;332;1441
1943;0;24988324;5907;332;1441
3261;0;24988324;5907;332;1441
16635;0;24988324;5907;332;1441
16747;0;24985700;5907;332;1441
16539;0;24986140;5907;332;1441
16809;0;24985700;5907;332;1441
16579;0;24985700;5907;332;1441
16877;0;24984052;5907;332;1441
16489;0;24984052;5907;332;1441
16692;0;24984052;5907;332;1441
16584;0;24984052;5907;332;1441
16815;0;24984052;5907;332;1441
16574;0;24984052;5907;332;1441
16699;0;24984052;5907;332;1441
16594;0;24984052;5907;332;1441
16732;0;24984052;5907;332;1441
16534;0;24984052;5907;332;1441
16861;0;24984492;5907;332;1441
16537;0;24984052;5907;332;1441
16917;0;24984052;5907;332;1441
16484;0;24984052;5907;332;1441
16653;0;24984052;5907;332;1441
16611;0;24984052;5907;332;1441
16816;0;24984052;5907;332;1441
16531;0;24984556;5907;332;1441
16718;0;24984556;5907;332;1441
16590;0;24984556;5907;332;1441
16802;0;24984556;5907;332;1441
16493;0;24984996;5907;332;1441
16942;0;24984996;5907;332;1441
16409;0;24984996;5907;332;1441
16790;0;24984556;5907;332;1441
16587;0;24984556;5907;332;1441
16754;0;24984556;5907;332;1441
16574;0;24984556;5907;332;1441
16844;0;24984116;5907;332;1441
16471;0;24983932;5907;332;1441
16779;0;24983492;5907;332;1441
16659;0;24983492;5907;332;1441
16658;0;24982988;5907;332;1441
17082;0;24982988;5907;332;1441
16312;0;24982988;5907;332;1441
16488;0;24983428;5907;332;1441
16781;0;24982988;5907;332;1441
16685;0;24982988;5907;332;1441
16858;0;24982988;5907;332;1441
16335;0;24982988;5907;332;1441
16920;0;24982988;5907;332;1441
16446;0;24986428;5907;332;1441
16757;0;24986556;5907;332;1441
16598;0;24986556;5907;332;1441
16738;0;24986556;5907;332;1441
16497;0;24992876;5907;332;1441
16763;0;24992876;5907;332;1441
16627;0;24991932;5907;332;1441
16771;0;24991932;5907;332;1441
16612;0;24991932;5907;332;1441
17031;55598;24991492;5907;332;1441
71876;0;24991492;5907;332;1441
5231;0;24988676;5907;332;1441
1950;0;24988676;5907;332;1441
3661;0;24988676;5907;332;1441
16925;0;24988484;5907;332;1441
16663;0;24988484;5907;332;1441
16601;0;24988484;5907;332;1441
16817;0;24988484;5907;332;1441
16618;0;24988484;5907;332;1441
16662;0;24988924;5907;332;1441
16704;0;24988924;5907;332;1441
16506;0;24988924;5907;332;1441
16948;0;24988924;5907;332;1441
16470;0;24988924;5907;332;1441
16764;0;24988924;5907;332;1441
16548;0;24988924;5907;332;1441
16718;0;24988924;5907;332;1441
16609;0;24988924;5907;332;1441
16897;0;24988924;5907;332;1441
16452;0;24988988;5907;332;1441
16791;0;24988988;5907;332;1441
16631;0;24991804;5907;332;1441
16660;0;24991932;5907;332;1441
16562;0;24991932;5907;332;1441
16863;0;24992372;5907;332;1441
16421;0;24992684;5907;332;1441
16913;0;24992684;5907;332;1441
16461;0;24993900;5907;332;1441
16790;0;24994828;5907;332;1441
16615;0;24995772;5907;332;1441
16697;0;24996212;5907;332;1441
16613;0;24989452;5907;332;1441
16733;0;24989452;5907;332;1441
16733;0;24989452;5907;332;1441
16739;0;24989452;5907;332;1441
16449;0;24986012;5907;332;1441
16804;0;24986012;5907;332;1441
16447;0;24986012;5907;332;1441
16888;0;24985572;5907;332;1441
16505;0;24985572;5907;332;1441
16765;0;24985572;5907;332;1441
16557;0;24986012;5907;332;1441
16877;0;24986012;5907;332;1441
16450;0;24986012;5907;332;1441
16817;0;24986012;5907;332;1441
16544;0;24986012;5907;332;1441
