Frame Time(us);Execution Time(us);Memory(bytes);State Size(bytes);Nodes;Objects
7072;964;22916323;313;333;1414
9311;0;22916971;313;333;1414
4531;0;22920059;313;333;1413
6890;0;22920771;313;333;1413
7424;0;22923795;313;333;1413
6534;0;22924379;313;333;1413
6919;0;22927659;313;333;1413
6944;0;22928243;313;333;1413
6938;0;22928827;313;333;1413
6814;0;22931851;313;333;1413
7030;0;22932435;313;333;1413
6994;0;22935971;313;333;1413
7145;0;22937075;313;333;1414
6665;0;22937659;313;333;1414
7248;0;22940683;313;333;1413
6687;0;22941267;313;333;1413
6924;0;22947171;313;333;1413
6910;0;22947755;313;333;1413
6960;0;22950779;313;333;1413
6876;0;22951363;313;333;1413
6996;0;22951947;313;333;1413
7478;0;22954971;313;333;1413
6387;0;22956579;313;333;1413
7032;0;22959603;313;333;1413
7138;0;22960187;313;333;1413
6680;0;22960771;313;333;1413
6936;0;22963795;313;333;1413
7022;0;22964379;313;333;1413
6891;0;22967403;313;333;1413
6927;0;22967987;313;333;1413
7044;0;22971011;313;333;1413
7241;0;22971595;313;333;1413
6634;0;22972467;313;333;1413
6868;0;22975491;313;333;1413
7469;0;22976075;313;333;1413
6399;0;22979099;313;333;1413
6909;0;22979683;313;333;1413
7080;0;22980267;313;333;1413
6838;0;22983291;313;333;1413
7121;0;22983875;313;333;1413
6802;0;22989779;313;333;1413
7261;0;22990363;313;333;1413
6818;0;22993387;313;333;1413
6783;0;22996019;313;333;1413
6989;0;22996603;313;333;1413
6863;0;22999627;313;333;1413
7019;0;23000211;313;333;1413
7049;0;23003235;313;333;1413
6749;0;23003819;313;333;1413
6985;0;23004403;313;333;1413
6903;0;23007427;313;333;1413
7113;0;23008011;313;333;1413
7004;0;23011035;313;333;1413
6741;0;23011619;313;333;1413
7019;0;23014643;313;333;1413
6859;0;23015227;313;333;1413
6979;0;23015811;313;333;1413
6917;0;23018835;313;333;1413
6960;0;23019419;313;333;1413
6894;0;23022443;313;333;1413
7079;1869;23084131;313;333;1413
9064;0;23084715;313;333;1413
4806;0;23087739;313;333;1413
6905;0;23088323;313;333;1413
7076;0;23094227;313;333;1413
6925;0;23094811;313;333;1413
6854;0;23097835;313;333;1413
6951;0;23098419;313;333;1413
6894;0;23099003;313;333;1413
6966;0;23102027;313;333;1413
6935;0;23102611;313;333;1413
6980;0;23105635;313;333;1413
6866;0;23106219;313;333;1413
7009;0;23106803;313;333;1413
7018;0;23109827;313;333;1413
6886;0;23110411;313;333;1413
7034;0;23113435;313;333;1413
6798;0;23114019;313;333;1413
6954;0;23117043;313;333;1413
6977;0;23117627;313;333;1413
6895;0;23118211;313;333;1413
7004;0;23121235;313;333;1413
6904;0;23121819;313;333;1413
7011;0;23124843;313;333;1413
6902;0;23125427;313;333;1413
6929;0;23126011;313;333;1413
6987;0;23133131;313;333;1413
6928;0;23133715;313;333;1413
6939;0;23139619;313;333;1413
6935;0;23140203;313;333;1413
6955;0;23143227;313;333;1413
7390;0;23143811;313;333;1413
6584;0;23144395;313;333;1413
6891;0;23147419;313;333;1413
7137;0;23148003;313;333;1413
6777;0;23151027;313;333;1413
6947;0;23151611;313;333;1413
6887;0;23152195;313;333;1413
6981;0;23155219;313;333;1413
6942;0;23155803;313;333;1413
6969;0;23158827;313;333;1413
6947;0;23159411;313;333;1413
6824;0;23162435;313;333;1413
6951;0;23163019;313;333;1413
7182;0;23163603;313;333;1413
6749;0;23166627;313;333;1413
6952;0;23167211;313;333;1413
6956;0;23170235;313;333;1413
6919;0;23170819;313;333;1413
7030;0;23171475;313;333;1413
6774;0;23174499;313;333;1413
7524;0;23175083;313;333;1413
6433;0;23180987;313;333;1413
6999;0;23181571;313;333;1413
7038;0;23184595;313;333;1413
6844;0;23185179;313;333;1413
6878;0;23185763;313;333;1413
6962;0;23188787;313;333;1413
6931;0;23189371;313;333;1413
6975;0;23192395;313;333;1413
6964;1965;23254083;313;333;1413
8940;0;23254667;313;333;1413
4951;0;23257763;313;333;1413
6982;0;23258347;313;333;1413
7332;0;23261371;313;333;1413
6540;0;23261955;313;333;1413
6884;0;23264979;313;333;1413
6903;0;23265563;313;333;1413
6978;0;23266147;313;333;1413
6942;0;23269171;313;333;1413
7024;0;23269755;313;333;1413
7391;0;23272779;313;333;1413
6503;0;23273363;313;333;1413
6905;0;23273947;313;333;1413
7040;0;23276971;313;333;1413
6798;0;23277555;313;333;1413
6929;0;23283531;313;333;1413
