Frame Time(us);Execution Time(us);Memory(bytes);State Size(bytes);Nodes;Objects
7569;2807;20044339;313;333;1405
9682;0;20047555;313;333;1404
3514;0;20048203;313;333;1404
7019;0;20051483;313;333;1404
7094;0;20052067;313;333;1404
6739;0;20052651;313;333;1404
7017;0;20056059;313;333;1404
7485;0;20056643;313;333;1404
6317;0;20062675;313;333;1404
6926;0;20063259;313;333;1404
7005;0;20063843;313;333;1404
7411;0;20067507;313;333;1404
6541;0;20068091;313;333;1404
7124;0;20071763;313;333;1404
6882;0;20072347;313;333;1404
6756;0;20075499;313;333;1404
7090;0;20076083;313;333;1404
11352;0;20076667;313;333;1404
2295;0;20079819;313;333;1404
6992;0;20080403;313;333;1404
7058;0;20083555;313;333;1404
6918;0;20084139;313;333;1404
6872;0;20085747;313;333;1404
7006;0;20088899;313;333;1404
8488;0;20089483;313;333;1404
5599;0;20092635;313;333;1404
6706;0;20093219;313;333;1404
7539;0;20096371;313;333;1404
6369;0;20096955;313;333;1404
6937;0;20097539;313;333;1404
6985;0;20100691;313;333;1404
6873;0;20101275;313;333;1404
6937;0;20107595;313;333;1404
7014;0;20108179;313;333;1404
7078;0;20108763;313;333;1404
6764;0;20111915;313;333;1404
6951;0;20112499;313;333;1404
6927;0;20115651;313;333;1404
6968;0;20116235;313;333;1404
7018;0;20119387;313;333;1404
7124;0;20119971;313;333;1404
6678;0;20120555;313;333;1404
6910;0;20123707;313;333;1404
6995;0;20126339;313;333;1404
8285;0;20129491;313;333;1404
5577;0;20130075;313;333;1404
6949;0;20130659;313;333;1404
7158;0;20133811;313;333;1404
6803;0;20134395;313;333;1404
6944;0;20137547;313;333;1404
6852;0;20138131;313;333;1404
6955;0;20141283;313;333;1404
7059;0;20141867;313;333;1404
7058;0;20142451;313;333;1404
6923;0;20145603;313;333;1404
6740;0;20146187;313;333;1404
7062;0;20152219;313;333;1404
7023;0;20152803;313;333;1404
6877;0;20153387;313;333;1404
6938;0;20156411;313;333;1404
6867;735;20177423;313;333;1405
7705;0;20180447;313;333;1405
6178;0;20181031;313;333;1405
7313;0;20184055;313;333;1405
8140;0;20184639;313;333;1405
5401;0;20185223;313;333;1405
6908;0;20188247;313;333;1405
